ticket_id,employee_id,category,description,status,priority,created_at
TKT-10251,EMP727,General HR Query,General HR Query request raised by EMP727.,Closed,Low,2024-09-10 17:19:00
TKT-10252,EMP602,Reimbursement,Reimbursement request raised by EMP602.,Closed,Normal,2023-07-26 08:09:00
TKT-10253,EMP457,Salary Certificate,Salary Certificate request raised by EMP457.,Closed,High,2023-09-10 16:21:00
TKT-10254,EMP933,Benefits Support,Benefits Support request raised by EMP933.,Closed,Normal,2024-04-18 17:02:00
TKT-10255,EMP755,Salary Certificate,Salary Certificate request raised by EMP755.,Resolved,High,2024-04-12 13:44:00
TKT-10256,EMP863,General HR Query,General HR Query request raised by EMP863.,Resolved,Normal,2024-09-19 10:26:00
TKT-10257,EMP256,Reimbursement,Reimbursement request raised by EMP256.,Closed,Normal,2024-01-29 18:11:00
TKT-10258,EMP716,Benefits Support,Benefits Support request raised by EMP716.,Open,Normal,2024-12-16 08:15:00
TKT-10259,EMP907,Reimbursement,Reimbursement request raised by EMP907.,Resolved,High,2024-07-04 12:42:00
TKT-10260,EMP939,Salary Certificate,Salary Certificate request raised by EMP939.,In Progress,Normal,2024-02-26 16:07:00
TKT-10261,EMP378,Salary Certificate,Salary Certificate request raised by EMP378.,Open,High,2023-11-30 14:28:00
TKT-10262,EMP169,Payroll Issue,Payroll Issue request raised by EMP169.,In Progress,High,2023-02-15 15:01:00
TKT-10263,EMP075,General HR Query,General HR Query request raised by EMP075.,Closed,Normal,2023-12-18 14:54:00
TKT-10264,EMP200,Employment Verification,Employment Verification request raised by EMP200.,Open,Low,2023-09-14 09:45:00
TKT-10265,EMP940,Reimbursement,Reimbursement request raised by EMP940.,Resolved,High,2024-04-20 15:29:00
TKT-10266,EMP070,Salary Certificate,Salary Certificate request raised by EMP070.,In Progress,High,2024-03-24 10:30:00
TKT-10267,EMP841,Payroll Issue,Payroll Issue request raised by EMP841.,In Progress,Low,2023-01-19 17:06:00
TKT-10268,EMP182,Payroll Issue,Payroll Issue request raised by EMP182.,Open,High,2024-02-05 10:04:00
TKT-10269,EMP688,Salary Certificate,Salary Certificate request raised by EMP688.,Resolved,Low,2024-03-27 13:11:00
TKT-10270,EMP222,General HR Query,General HR Query request raised by EMP222.,Open,High,2024-06-29 11:28:00
TKT-10271,EMP714,Salary Certificate,Salary Certificate request raised by EMP714.,Open,Normal,2024-12-07 12:28:00
TKT-10272,EMP054,Benefits Support,Benefits Support request raised by EMP054.,Open,Low,2024-01-22 11:59:00
TKT-10273,EMP256,Payroll Issue,Payroll Issue request raised by EMP256.,In Progress,Low,2023-04-04 08:26:00
TKT-10274,EMP029,Salary Certificate,Salary Certificate request raised by EMP029.,Resolved,Low,2024-11-27 18:04:00
TKT-10275,EMP226,Salary Certificate,Salary Certificate request raised by EMP226.,In Progress,High,2023-06-21 08:26:00
TKT-10276,EMP525,Salary Certificate,Salary Certificate request raised by EMP525.,Resolved,Normal,2024-07-29 18:12:00
TKT-10277,EMP640,Reimbursement,Reimbursement request raised by EMP640.,Closed,Normal,2023-05-04 11:13:00
TKT-10278,EMP109,Payroll Issue,Payroll Issue request raised by EMP109.,Resolved,Low,2023-01-16 14:41:00
TKT-10279,EMP324,Salary Certificate,Salary Certificate request raised by EMP324.,Closed,Low,2024-04-14 11:04:00
TKT-10280,EMP674,Payroll Issue,Payroll Issue request raised by EMP674.,Resolved,Low,2023-03-10 11:26:00
TKT-10281,EMP309,Benefits Support,Benefits Support request raised by EMP309.,Closed,Low,2024-12-30 16:50:00
TKT-10282,EMP945,Benefits Support,Benefits Support request raised by EMP945.,In Progress,Normal,2023-04-08 17:20:00
TKT-10283,EMP647,General HR Query,General HR Query request raised by EMP647.,Closed,High,2024-12-11 10:21:00
TKT-10284,EMP180,General HR Query,General HR Query request raised by EMP180.,Resolved,High,2024-05-08 09:21:00
TKT-10285,EMP019,Benefits Support,Benefits Support request raised by EMP019.,Closed,Normal,2024-06-07 18:47:00
TKT-10286,EMP239,Benefits Support,Benefits Support request raised by EMP239.,Open,Low,2023-01-22 17:48:00
TKT-10287,EMP919,Salary Certificate,Salary Certificate request raised by EMP919.,Resolved,Low,2024-03-14 11:39:00
TKT-10288,EMP082,Salary Certificate,Salary Certificate request raised by EMP082.,In Progress,Normal,2024-05-25 12:12:00
TKT-10289,EMP156,Employment Verification,Employment Verification request raised by EMP156.,In Progress,High,2023-02-08 11:59:00
TKT-10290,EMP743,Benefits Support,Benefits Support request raised by EMP743.,Closed,High,2023-12-03 10:17:00
TKT-10291,EMP326,General HR Query,General HR Query request raised by EMP326.,Open,High,2024-02-29 18:52:00
TKT-10292,EMP296,Salary Certificate,Salary Certificate request raised by EMP296.,In Progress,High,2023-12-06 13:15:00
TKT-10293,EMP211,Benefits Support,Benefits Support request raised by EMP211.,Open,High,2023-09-12 18:44:00
TKT-10294,EMP737,Reimbursement,Reimbursement request raised by EMP737.,Closed,High,2023-11-26 10:28:00
TKT-10295,EMP645,Salary Certificate,Salary Certificate request raised by EMP645.,Open,Normal,2023-03-13 11:03:00
TKT-10296,EMP650,Reimbursement,Reimbursement request raised by EMP650.,In Progress,Low,2023-04-04 10:37:00
TKT-10297,EMP563,Reimbursement,Reimbursement request raised by EMP563.,In Progress,High,2023-03-22 14:46:00
TKT-10298,EMP479,Payroll Issue,Payroll Issue request raised by EMP479.,In Progress,High,2023-07-22 11:27:00
TKT-10299,EMP181,Benefits Support,Benefits Support request raised by EMP181.,In Progress,Normal,2023-10-20 17:28:00
TKT-10300,EMP991,General HR Query,General HR Query request raised by EMP991.,In Progress,Normal,2024-05-07 09:23:00
